,Country,start_date,pre_date,b7_truth,start_truth,pre_cases
108,Nicaragua,2020-05-01,2020-05-08,11,14,17
109,Niger,2020-05-01,2020-05-08,681,728,775
110,Nigeria,2020-05-01,2020-05-08,1095,2170,3245
111,North Macedonia,2020-05-01,2020-05-08,1326,1494,1662
112,Norway,2020-05-01,2020-05-08,7463,7783,8103
113,Oman,2020-05-01,2020-05-08,1790,2447,3104
114,Pakistan,2020-05-01,2020-05-08,11940,18114,24288
115,Panama,2020-05-01,2020-05-08,5338,6720,8102
116,Papua New Guinea,2020-05-01,2020-05-08,8,8,8
117,Paraguay,2020-05-01,2020-05-08,223,333,443
118,Peru,2020-05-01,2020-05-08,21648,40459,59270
119,Philippines,2020-05-01,2020-05-08,7192,8772,10352
120,Poland,2020-05-01,2020-05-08,10892,13105,15318
121,Portugal,2020-05-01,2020-05-08,22797,25351,27905
122,Qatar,2020-05-01,2020-05-08,8525,14096,19667
123,Romania,2020-05-01,2020-05-08,10417,12567,14717
124,Russia,2020-05-01,2020-05-08,68622,114431,160240
125,Rwanda,2020-05-01,2020-05-08,176,249,322
126,Saint Lucia,2020-05-01,2020-05-08,15,17,19
127,Saint Vincent and the Grenadines,2020-05-01,2020-05-08,14,16,18
128,San Marino,2020-05-01,2020-05-08,513,580,647
129,Saudi Arabia,2020-05-01,2020-05-08,15102,24097,33092
130,Senegal,2020-05-01,2020-05-08,545,1024,1503
131,Serbia,2020-05-01,2020-05-08,7483,9009,10535
132,Seychelles,2020-05-01,2020-05-08,11,11,11
133,Singapore,2020-05-01,2020-05-08,12075,17101,22127
134,Slovakia,2020-05-01,2020-05-08,1360,1403,1446
135,Slovenia,2020-05-01,2020-05-08,1373,1434,1495
136,Somalia,2020-05-01,2020-05-08,328,601,874
137,South Africa,2020-05-01,2020-05-08,4220,5951,7682
138,Spain,2020-05-01,2020-05-08,202990,213435,223880
139,Sri Lanka,2020-05-01,2020-05-08,420,690,960
140,Sudan,2020-05-01,2020-05-08,174,533,892
141,Suriname,2020-05-01,2020-05-08,10,10,10
142,Sweden,2020-05-01,2020-05-08,17567,21520,25473
143,Switzerland,2020-05-01,2020-05-08,28677,29705,30733
144,Tanzania,2020-05-01,2020-05-08,299,480,661
145,Thailand,2020-05-01,2020-05-08,2907,2960,3013
146,Togo,2020-05-01,2020-05-08,90,123,156
147,Trinidad and Tobago,2020-05-01,2020-05-08,115,116,117
148,Tunisia,2020-05-01,2020-05-08,922,998,1074
149,Turkey,2020-05-01,2020-05-08,104912,122392,139872
150,Uganda,2020-05-01,2020-05-08,75,85,95
151,Ukraine,2020-05-01,2020-05-08,7647,10861,14075
152,United Arab Emirates,2020-05-01,2020-05-08,9281,13038,16795
153,United Kingdom,2020-05-01,2020-05-08,144640,178685,212730
154,Uruguay,2020-05-01,2020-05-08,563,648,733
155,US,2020-05-01,2020-05-08,905358,1103461,1301564
156,Uzbekistan,2020-05-01,2020-05-08,1804,2086,2368
157,Venezuela,2020-05-01,2020-05-08,318,335,352
158,Vietnam,2020-05-01,2020-05-08,270,270,270
159,Zambia,2020-05-01,2020-05-08,84,109,134
160,Zimbabwe,2020-05-01,2020-05-08,29,40,51
161,Dominica,2020-05-01,2020-05-08,16,16,16
162,Grenada,2020-05-01,2020-05-08,15,20,25
163,Mozambique,2020-05-01,2020-05-08,65,79,93
164,Syria,2020-05-01,2020-05-08,42,44,46
165,Timor-Leste,2020-05-01,2020-05-08,24,24,24
166,Belize,2020-05-01,2020-05-08,18,18,18
167,Laos,2020-05-01,2020-05-08,19,19,19
168,Libya,2020-05-01,2020-05-08,61,63,65
169,West Bank and Gaza,2020-05-01,2020-05-08,484,353,222
170,Guinea-Bissau,2020-05-01,2020-05-08,52,257,462
171,Mali,2020-05-01,2020-05-08,325,508,691
172,Saint Kitts and Nevis,2020-05-01,2020-05-08,15,15,15
173,Kosovo,2020-05-01,2020-05-08,703,806,909
174,Burma,2020-05-01,2020-05-08,144,151,158
175,MS Zaandam,2020-05-01,2020-05-08,9,9,9
176,Botswana,2020-05-01,2020-05-08,22,23,24
177,Burundi,2020-05-01,2020-05-08,11,11,11
178,Sierra Leone,2020-05-01,2020-05-08,82,136,190
179,Malawi,2020-05-01,2020-05-08,33,37,41
180,South Sudan,2020-05-01,2020-05-08,5,45,85
181,Western Sahara,2020-05-01,2020-05-08,6,6,6
182,Sao Tome and Principe,2020-05-01,2020-05-08,4,16,28
183,Yemen,2020-05-01,2020-05-08,1,7,13
